date,person,interest
2024-01-07,Bianca Censori,38.94085475420219
2024-01-14,Bianca Censori,27.541242578918677
2024-01-21,Bianca Censori,61.83052362822801
2024-01-28,Bianca Censori,25.87553477491475
2024-02-04,Bianca Censori,19.664193587576733
2024-02-11,Bianca Censori,20.69694347079334
2024-02-18,Bianca Censori,0.0
2024-02-25,Bianca Censori,47.31665428314426
2024-03-03,Bianca Censori,22.53517084482778
2024-03-10,Bianca Censori,16.906676931854896
2024-03-17,Bianca Censori,18.969450703363485
2024-03-24,Bianca Censori,41.08896840442695
2024-03-31,Bianca Censori,32.55994497400823
2024-04-07,Bianca Censori,59.578724199935834
2024-04-14,Bianca Censori,19.608503581461513
2024-04-21,Bianca Censori,25.199512503721017
2024-04-28,Bianca Censori,67.51666201708065
2024-05-05,Bianca Censori,11.471203278793794
2024-05-12,Bianca Censori,7.767855949392441
2024-05-19,Bianca Censori,50.22586075843808
2024-05-26,Bianca Censori,34.53548968896953
2024-06-02,Bianca Censori,62.38118457364934
2024-06-09,Bianca Censori,28.57833091701167
2024-06-16,Bianca Censori,25.270133479392804
2024-06-23,Bianca Censori,22.428502122723824
2024-06-30,Bianca Censori,49.77820007194048
2024-07-07,Bianca Censori,76.22011954712184
2024-07-14,Bianca Censori,23.8785189525063
2024-07-21,Bianca Censori,41.31821030483471
2024-07-28,Bianca Censori,46.84947227268043
2024-08-04,Bianca Censori,27.171013978117664
2024-08-11,Bianca Censori,19.70740689027072
2024-08-18,Bianca Censori,23.142710439615175
2024-08-25,Bianca Censori,50.783645564126765
2024-09-01,Bianca Censori,45.645464803095564
2024-09-08,Bianca Censori,55.462320514274815
2024-09-15,Bianca Censori,37.58944845085741
2024-09-22,Bianca Censori,19.497844417107764
2024-09-29,Bianca Censori,30.495131296020872
2024-10-06,Bianca Censori,59.33358580465212
2024-10-13,Bianca Censori,32.766847228287084
2024-10-20,Bianca Censori,25.847867691614386
2024-10-27,Bianca Censori,27.305906018924787
2024-11-03,Bianca Censori,37.71802628721144
2024-11-10,Bianca Censori,16.767115147922624
2024-11-17,Bianca Censori,22.318373215478346
2024-11-24,Bianca Censori,47.85723811863733
2024-12-01,Bianca Censori,37.32751997387432
2024-12-08,Bianca Censori,33.18739588826473
2024-12-15,Bianca Censori,48.90560982959201
2024-12-22,Bianca Censori,18.863044310207655
2024-12-29,Bianca Censori,25.632081361240175
2025-01-05,Bianca Censori,62.212584064489334
2025-01-12,Bianca Censori,36.288994899238006
2025-01-19,Bianca Censori,24.500703871554723
2025-01-26,Bianca Censori,26.445536583541042
2025-02-02,Bianca Censori,35.54889894170559
2025-02-09,Bianca Censori,0.0
2025-02-16,Bianca Censori,31.406085518790473
2025-02-23,Bianca Censori,1.6469168041759836
2025-03-02,Bianca Censori,33.642258285894
2025-03-09,Bianca Censori,42.402426877234106
2025-03-16,Bianca Censori,28.397502633939794
2025-03-23,Bianca Censori,37.317852162005025
2025-03-30,Bianca Censori,52.49081066127037
2025-04-06,Bianca Censori,45.484794588361936
2025-04-13,Bianca Censori,57.23029759684978
2025-04-20,Bianca Censori,6.776680869738943
2025-04-27,Bianca Censori,41.937134443294866
2025-05-04,Bianca Censori,21.87664086715011
2025-05-11,Bianca Censori,32.26459822332247
2025-05-18,Bianca Censori,25.550292657014232
2025-05-25,Bianca Censori,41.81404858287717
2025-06-01,Bianca Censori,15.725563237297003
2025-06-08,Bianca Censori,25.231240818420943
2025-06-15,Bianca Censori,16.310777271080724
2025-06-22,Bianca Censori,25.858589536172506
2025-06-29,Bianca Censori,42.32019237361138
2025-07-06,Bianca Censori,56.889957439507896
2025-07-13,Bianca Censori,100.0
2025-07-20,Bianca Censori,37.07789029647162
2025-07-27,Bianca Censori,46.50281169199158
2025-08-03,Bianca Censori,41.854948181104156
2025-08-10,Bianca Censori,37.83572411819735
2025-08-17,Bianca Censori,20.27955501158717
2025-08-24,Bianca Censori,36.73056654889806
2025-08-31,Bianca Censori,52.67954606190122
2025-09-07,Bianca Censori,19.751674475525377
2025-09-14,Bianca Censori,51.52825306177558
2025-09-21,Bianca Censori,56.52190190725562
2025-09-28,Bianca Censori,19.17877035604929
2025-10-05,Bianca Censori,12.382295043830453
2025-10-12,Bianca Censori,40.40075239301611
2025-10-19,Bianca Censori,70.75111462109918
2025-10-26,Bianca Censori,16.808740266740582
2025-11-02,Bianca Censori,18.16541487062211
2025-11-09,Bianca Censori,37.860434387940344
2024-01-07,Taylor Swift,87.40774873554035
2024-01-14,Taylor Swift,71.08014750143066
2024-01-21,Taylor Swift,100.0
2024-01-28,Taylor Swift,59.086612529083325
2024-02-04,Taylor Swift,82.43708622864779
2024-02-11,Taylor Swift,100.0
2024-02-18,Taylor Swift,86.01000741138138
2024-02-25,Taylor Swift,68.56306651482996
2024-03-03,Taylor Swift,87.05574692355412
2024-03-10,Taylor Swift,61.55930071182783
2024-03-17,Taylor Swift,67.80552023546568
2024-03-24,Taylor Swift,100.0
2024-03-31,Taylor Swift,100.0
2024-04-07,Taylor Swift,76.52313077669001
