person,Rank,Total Interest,Average Interest,Peak Interest,Significant Weeks (>=10)
Bianca Censori,1,3353.7400134878517,34.57463931430775,100.0,92
Brittney Spears,2,1998.59520171814,20.60407424451691,61.32392610117412,78
Donald Trump,3,7101.576056005448,73.21212428871596,100.0,97
Elon Musk,4,5160.393154242966,53.19992942518522,98.69140040241106,96
Joe Biden,5,3843.0723083751786,39.61930214819772,88.27974122183787,95
Kanye West,6,2972.278478326942,30.64204616831899,79.01964940858744,87
Kate Middleton,7,5585.86143425206,57.586200353114016,100.0,94
Kim Kardashian,8,3637.1658475659765,37.49655512954615,72.65810271105704,93
Taylor Swift,9,8059.914041654063,83.09189733663983,100.0,97
Tom Holland,10,2378.4712562938735,24.52032222983375,65.46930746373468,88
Travis Kelce,11,4740.791522770738,48.87413941000761,91.68571465920893,94
Zendaya,12,2872.7040801741614,29.61550598117692,72.60124308547664,91
